TF_traceback	num_regula_targets
CBX4	3
NR1H3	3
HAND2	3
GLIS3	3
HES4	3
DANCR	3
ZFHX3	3
MIAT	3
SNHG12	3
EHMT2	3
MBD4	3
PVT1	3
BRF1	3
SOX3	3
NPAT	3
ISL1	2
ATOH1	2
CCAT2	2
GHET1	2
SNHG1	2
SUMO1P3	2
CCND2-AS1	2
NPTN-IT1	2
ZFAS1	2
TUG1	2
FEZF1-AS1	2
MEG3	2
ERF	2
LINC00052	2
AK094613	2
BRF2	2
SOX4	2
LSINCT5	2
PIAS1	2
ELF5	2
CRNDE	2
ZNF395	2
MECP2	2
CEBPZ	2
ZNF266	2
CREM	2
ATF5	2
BCYRN1	2
POLR3G	2
ATF7IP	2
ZNF706	2
DLX2	1
GLS2	1
TERF1	1
DUXAP8	1
AOC4P	1
FAS-AS1	1
CLMAT3	1
AGAP2-AS1	1
XIST	1
FUNDC2P4	1
CASC9	1
RAMP2-AS1	1
WFDC21P	1
PCAT1	1
CASC8	1
FOXCUT	1
SNHG15	1
FENDRR	1
PBX2	1
PCGF6	1
NEAT1	1
KDM5C	1
PITX1	1
HOXA5	1
MYBL1	1
HNRNPL	1
TTF2	1
KDM5A	1
NKX2-5	1
ZFAT	1
LINC00673	1
DBH-AS1	1
C5-OT1	1
RBL1	1
SALL4	1
HOXB4	1
CASZ1	1
ID3	1
IRF5	1
HOXA-AS2	1
SOCS2-AS1	1
SNHG5	1
HOXA11-AS	1
CASC15	1
CASC2	1
SNHG7	1
MELTF-AS1	1
NKX3-1	1
MIR2052HG	1
HIVEP1	1
LINC00963	1
DGCR5	1
LINC00265	1
HEIH	1
LINC00982	1
IRAIN	1
RORA	1
PAX3	1
HOXC11	1
NR2F1	1
KCNQ1OT1	1
LINC00473	1
TBX3	1
TRRAP	1
PHBP1	1
PALB2	1
LINC00364	1
PTCSC3	1
CBR3-AS1	1
KAT2A	1
KLF15	1
CDK2	1
GCASPC	1
TPM1-AS	1
CCDC101	1
BDNF-AS	1
LUADT1	1
CARMN	1
SBF2-AS1	1
HMGN1	1
SMAD1	1
LINC00941	1
BACE1-AS	1
HDAC8	1
CARM1	1
EGOT	1
MT1DP	1
UBP1	1
HOXB7	1
HAGLROS	1
OR3A4P	1
C17orf49	1
MSX1	1
SUPT20H	1
MAPT-AS1	1
