source	target
DDX5	FKBP4
DDX5	GAPDH
DDX5	PTMS
DDX5	USP5
DDX5	GPD1
DDX5	KRT8
DDX5	KRT18
DDX5	MYL6
DDX5	PTGES3
DDX5	DCTN2
DDX5	GNS
DDX5	TXNRD1
DDX5	ARPC3
DDX5	RPL6
DDX5	PEBP1
DDX5	RPLP0
DDX5	ANXA2
DDX5	CLPX
DDX5	ANP32A
DDX5	ETFA
DDX5	GAMT
DDX5	DAZAP1
DDX5	RPS15
DDX5	REEP6
DDX5	SGTA
DDX5	RPL36
DDX5	KHSRP
DDX5	TUBB4A
DDX5	ELAVL1
DDX5	HNRNPM
DDX5	ICAM1
DDX5	CDC37
DDX5	CALR
DDX5	DNAJB1
DDX5	TPM4
DDX5	RPL18A
DDX5	LGALS4
DDX5	HNRNPL
DDX5	RPS16
DDX5	NUCB1
DDX5	FTL
DDX5	RPL13A
DDX5	RPL28
DDX5	RPL27A
DDX5	ACP2
DDX5	NDUFS3
DDX5	CTNND1
DDX5	FTH1
DDX5	GANAB
DDX5	OTUB1
DDX5	STIP1
DDX5	PRDX5
DDX5	CFL1
DDX5	PC
DDX5	CORO1B
DDX5	CPT1A
DDX5	C11orf54
DDX5	ACAT1
DDX5	ARPC4
DDX5	RPL15
DDX5	PDCD6IP
DDX5	RPSA
DDX5	MAP4
DDX5	ABHD14B
DDX5	ACY1
DDX5	TKT
DDX5	SEC61A1
DDX5	RAB7A
DDX5	OGDH
DDX5	PPIA
DDX5	CCT6A
DDX5	ASL
DDX5	MDH2
DDX5	ARPC1B
DDX5	GNB2
DDX5	GSTK1
DDX5	ZYX
DDX5	PDIA4
DDX5	GGT1
DDX5	TOM1
DDX5	XRCC6
DDX5	DYNC1H1
DDX5	HSP90AA1
DDX5	GNB1
DDX5	H6PD
DDX5	AGMAT
DDX5	SDHB
DDX5	AKR7A3
DDX5	CAPZB
DDX5	SFN
DDX5	SFPQ
DDX5	YBX1
DDX5	RPS8
DDX5	PRDX1
DDX5	AKR1A1
DDX5	CAPZA1
DDX5	PSMB4
DDX5	FDPS
DDX5	APOA2
DDX5	ALDH9A1
DDX5	RPS2
DDX5	COTL1
DDX5	APRT
DDX5	ACSS2
DDX5	NFS1
DDX5	CTSA
DDX5	CTSZ
DDX5	TPD52L2
DDX5	TUBB
DDX5	NEU1
DDX5	EZR
DDX5	CTSB
DDX5	EPHX2
DDX5	GSR
DDX5	ERLIN2
DDX5	PLEC
DDX5	EIF4A1
DDX5	RPL26
DDX5	ALDH3A2
DDX5	RPL23
DDX5	ACLY
DDX5	RPL27
DDX5	VAT1
DDX5	ITGA3
DDX5	ACOX1
DDX5	SLC25A10
DDX5	ARHGDIA
DDX5	PCYT2
DDX5	RPS23
DDX5	CANX
DDX5	HMGB1
DDX5	TPT1
DDX5	AK3
DDX5	PLIN2
DDX5	VCP
DDX5	GRHPR
DDX5	HSDL2
DDX5	STOM
DDX5	HSPA5
DDX5	CRAT
DDX5	RPL7A
DDX5	EDF1
DDX5	TUBB4B
DDX5	SEC31A
DDX5	ETFDH
DDX5	IDI1
DDX5	PGAM1
DDX5	ACTR1A
DDX5	HADHA
DDX5	HADHB
DDX5	ANXA4
DDX5	PCBP1
DDX5	SPATS2L
DDX5	IDH1
DDX5	RAB5B
DDX5	RPS26
DDX5	HIP1R
DDX5	MAP2K2
DDX5	RPLP2
DDX5	EIF4G1
DDX5	CYB5R3
DDX5	TMED10
DDX5	GSPT1
DDX5	ALDOA
DDX5	RPL10A
DDX5	LRRFIP1
AHR	PTDSS2
AHR	EPS8L2
AHR	DEAF1
AHR	CD44
AHR	POLD4
AHR	GSTP1
AHR	CPT1A
AHR	STARD10
AHR	C2CD3
AHR	PPME1
AHR	TSKU
AHR	TENM4
AHR	BCL9L
AHR	CBL
AHR	NBPF1
AHR	AHDC1
AHR	AK2
AHR	SMAP2
AHR	HIVEP3
AHR	ERI3
AHR	OSBPL9
AHR	IGSF3
AHR	RNF115
AHR	FMO5
AHR	BCL9
AHR	S100A11
AHR	ADAR
AHR	EFNA1
AHR	PBX1
AHR	QSOX1
AHR	PIK3C2B
AHR	DEGS1
AHR	IRF2BP2
AHR	LGALS8
AHR	LMCD1
AHR	BTD
AHR	ANKRD28
AHR	OSBPL10
AHR	PSMD6
AHR	PRICKLE2
AHR	LRIG1
AHR	KALRN
AHR	ITGB5
AHR	HEG1
AHR	MGLL
AHR	IFT122
AHR	ACAD11
AHR	SLC25A36
AHR	MFSD1
AHR	FNDC3B
AHR	FXR1
AHR	MCCC1
AHR	LPP
AHR	TNK2
AHR	DOCK5
AHR	FAM110B
AHR	TMEM70
AHR	GDAP1
AHR	WWP1
AHR	RUNX1T1
AHR	SYBU
AHR	TRIB1
AHR	PLEC
AHR	RCAN1
AHR	TTC3
AHR	BRWD1
AHR	PDXK
AHR	ADARB1
AHR	COL18A1
AHR	SLC19A1
AHR	PCBP3
AHR	PARP4
AHR	ELF1
AHR	TSC22D1
AHR	COL4A2
AHR	MCF2L
AHR	SGMS1
AHR	FAM13C
AHR	HPS1
AHR	SFXN3
AHR	NEURL1
AHR	SORCS1
AHR	INPP5F
AHR	WDR11
AHR	ADAM12
AHR	EPB41L1
AHR	PKIG
AHR	SULF2
AHR	BCAS4
AHR	ATP9A
AHR	ADAP1
AHR	TNRC18
AHR	FBXL18
AHR	ACTB
AHR	AIMP2
AHR	KIAA0895
AHR	TMEM248
AHR	YWHAG
AHR	SEMA3C
AHR	SRPK2
AHR	SYPL1
AHR	HBP1
AHR	TMEM140
AHR	DSP
AHR	CD109
AHR	TMEM30A
AHR	SNX14
AHR	CITED2
AHR	ARID1B
AHR	PKD1
AHR	TRAF7
AHR	CREBBP
AHR	SNX29
AHR	CDH1
AHR	NQO1
AHR	TAT
AHR	USP10
AHR	KIAA0513
AHR	ANKRD11
AHR	NYNRIN
AHR	PYGL
AHR	KTN1
AHR	FOS
AHR	IRF2BPL
AHR	EVL
AHR	BMF
AHR	SPPL2A
AHR	TMOD3
AHR	USP3
AHR	ZNF609
AHR	SMAD3
AHR	PAQR5
AHR	CYP1A1
AHR	CYP1A2
AHR	PDE8A
AHR	ABHD2
AHR	IGF1R
AHR	PXDN
AHR	GREB1
AHR	FOSL2
AHR	CYP1B1
AHR	SOS1
AHR	MTA3
AHR	SLC3A1
AHR	RANBP2
AHR	ANAPC1
AHR	HS6ST1
AHR	NR4A2
AHR	RAPGEF4
AHR	NRP2
AHR	KLF7
AHR	CYP27A1
AHR	AGAP1
AHR	DPP9
AHR	WIZ
AHR	TPM4
AHR	FAM32A
AHR	ANO8
AHR	GTPBP3
AHR	PEPD
AHR	GRAMD1A
AHR	LGALS4
AHR	SARS2
AHR	AKT2
AHR	PAFAH1B3
AHR	PPP1R37
AHR	SLC1A5
AHR	ARHGAP35
AHR	ZNF580
AHR	CCDC106
AHR	AFAP1
AHR	ABLIM2
AHR	CPEB2
AHR	KLHL5
AHR	UGDH
AHR	RBM47
AHR	INTS12
AHR	PGRMC2
AHR	TBC1D9
AHR	RNF150
AHR	AIFM1
AHR	CMBL
AHR	TRIO
