source	target
AHR	NADK2
AHR	MCCC2
AHR	ENC1
AHR	SSBP2
AHR	PJA2
AHR	SAR1B
AHR	TGFBI
AHR	CTNNA1
AHR	SIL1
AHR	CXXC5
AHR	DIAPH1
AHR	HDAC3
AHR	GALNT10
AHR	FAXDC2
AHR	ERGIC1
AHR	AQP3
AHR	FBP1
AHR	HSDL2
AHR	DENND1A
AHR	GAPVD1
AHR	ASS1
AHR	ANAPC2
AHR	NSMF
AHR	ZBTB4
AHR	POLR2A
AHR	KRBA2
AHR	FAM222B
AHR	DHRS13
AHR	JUP
AHR	HDAC5
AHR	PNPO
AHR	NFE2L1
AHR	ABCC3
AHR	YPEL2
AHR	VMP1
AHR	DCAF7
AHR	CCDC47
AHR	ABCA5
AHR	GPRC5C
AHR	XBP1
AHR	ASCC2
AHR	MAFF
AHR	DDX47
AHR	SCAF11
AHR	HDAC7
AHR	LIMA1
AHR	SLC11A2
AHR	DTX3
AHR	OS9
AHR	OSBPL8
AHR	BTG1
AHR	C12orf73
AHR	CKAP4
AHR	VSIG10
AHR	CIT
AHR	CLIP1
AHR	ABCB9
AHR	PITPNM2
AHR	NCOR2
AHR	UBC
AHR	GALNT9
AR	SLC25A25
AR	AHCY
AR	BLCAP
