source	target
ARNT	MNT
ARNT	POLR2A
ARNT	CHD3
ARNT	SREBF1
ARNT	PCGF2
ARNT	STAT3
ARNT	ETV4
ARNT	CBX4
ARNT	RAC3
ARNT	MBD3
ARNT	SMARCA4
ARNT	BRD4
ARNT	JUND
ARNT	KMT2B
ARNT	HNRNPL
ARNT	KLF9
ARNT	RXRA
ATF2	STAT3
ATF2	ELF1
ATF2	RB1
ATF2	JUND
ATF2	SMAD3
ATF2	BACH1
ATF2	HIF1A
ATF2	XBP1
ATF2	MAFF
ATF2	SREBF2
ATF2	MBD2
ATF2	BRD2
ATF2	BACH2
ATF2	ELL2
ATF2	EBF1
ATF2	ZNF217
ATF2	MTA3
ATF2	ID3
ATF2	MXI1
ATF2	SREBF1
ATF2	CBX4
ATF2	NR1H3
ATF2	BCOR
ATF2	FOS
ATF2	E2F3
ATF2	MAZ
ATF2	ZFHX3
ATF2	CTBP2
BACH1	BACH2
BACH1	CREBBP
BACH1	MNT
BACH1	MAFG
BACH1	FOSL2
BACH1	NCOR2
BACH2	SMAD3
BACH2	MNT
BACH2	STAT3
BACH2	MAFG
BACH2	EWSR1
BACH2	BACH1
BACH2	SMARCA4
BACH2	JUND
BACH2	TBL1XR1
BACH2	E2F3
BACH2	BRD2
BACH2	BACH2
BACH2	ELF1
BACH2	ZMIZ1
BACH2	MBD2
BCOR	E2F3
BCOR	SOX4
BCOR	BRD2
BCOR	SRF
BCOR	BACH2
BCOR	HDAC2
BCOR	ELF1
BCOR	RB1
BCOR	NR1H3
BCOR	RELA
BCOR	NCOR2
BCOR	CLOCK
BCOR	XRN2
BCOR	ZNF217
BCOR	BACH1
BCOR	NIPBL
BCOR	ELL2
BCOR	EGR1
BCOR	EBF1
BCOR	NR2C2
BCOR	SMARCC1
BCOR	TBL1XR1
BCOR	CEBPD
BCOR	HEY1
BCOR	KLF10
BCOR	GLIS3
BCOR	KLF9
BCOR	PBX3
BCOR	BRD3
BCOR	CREBBP
BCOR	GLYR1
BCOR	MAZ
BCOR	KAT8
BCOR	RBL2
BCOR	THAP11
BCOR	ZFHX3
BCOR	HIF1A
BCOR	FOS
BCOR	RCOR1
BCOR	XBP1
BCOR	EWSR1
BCOR	MAFF
BCOR	SREBF2
BCOR	MNT
BCOR	CAMTA2
BCOR	C17orf49
BCOR	POLR2A
BCOR	CHD3
BCOR	SREBF1
BCOR	PCGF2
BCOR	KAT2A
BCOR	STAT3
BCOR	ETV4
BCOR	DDX5
BCOR	CBX4
BCOR	MAFG
BCOR	ZNF280D
BCOR	SMAD3
BCOR	MAFK
BCOR	FOXK1
BCOR	AHR
BCOR	ZKSCAN1
BCOR	HBP1
BCOR	REPIN1
BCOR	BMI1
BCOR	POLR3A
BCOR	ZMIZ1
BCOR	MXI1
BCOR	CTBP2
BCOR	SMAD4
BCOR	MBD2
BCOR	FOSL2
BCOR	MTA3
BCOR	ID3
BCOR	HDAC1
BCOR	JUN
BCOR	ARNT
BCOR	ELK4
BCOR	BCOR
BCOR	MED12
BCOR	OGT
BCOR	HCFC1
BCOR	SMARCA4
BCOR	BRD4
BCOR	JUND
BCOR	KMT2B
BCOR	HNRNPL
BCOR	POU2F2
BCOR	TRIM28
BMI1	SIRT6
BMI1	JUND
BMI1	KMT2B
BMI1	KLF9
BMI1	PBX3
BMI1	MAZ
BMI1	SOX4
BMI1	ZMIZ1
BMI1	ZNF280D
BMI1	EBF1
BMI1	HCFC1
BMI1	C17orf49
BMI1	POLR2A
BMI1	ETV4
BMI1	RAC3
BMI1	BMI1
BRD2	PPARG
BRD2	NR2C2
BRD2	SMARCC1
BRD2	TBL1XR1
BRD2	CLOCK
BRD2	MAFK
BRD2	FOXK1
BRD2	AHR
BRD2	ZKSCAN1
BRD2	REPIN1
BRD2	ZNF217
BRD2	BCOR
BRD2	ELK1
BRD2	MED12
BRD2	HCFC1
BRD2	TP73-AS1
BRD2	ID3
BRD2	HDAC1
BRD2	JUN
BRD2	ARNT
BRD2	PBX1
BRD2	ELK4
BRD2	HIF1A
BRD2	FOS
BRD2	RCOR1
BRD2	POLR3A
BRD2	ZMIZ1
BRD2	MXI1
BRD2	CTBP2
BRD2	SMAD4
BRD2	MBD2
BRD2	ELL2
BRD2	EGR1
BRD2	HDAC3
BRD2	EBF1
BRD2	CREBBP
