source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
ST8SIA4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SKP1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C9	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SEC24A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TCERG1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DPYSL3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SMAD5	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSNK1A1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERGIC1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ATP6V0E1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CPEB4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DBN1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
UNC5A	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHHADH	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CRBN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KNG1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HRG	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
HGD	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
AMOTL2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PCCB	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SLC25A36	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
XRN1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCHE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNAI2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TFG	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
HYAL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TUSC2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPL24	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
FXR1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBE1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SLC41A3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PLXNA1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PODXL2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CSPG5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KLHL18	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SCAP	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLSCR4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAPKAPK3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ACVR2B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GORASP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AADAC	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ABHD14B	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
KLHL24	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB47	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNNC1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SPCS1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC4A3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ADAM23	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MOB1A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RTKN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ACTR1B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC35F5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STEAP3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EPB41L5	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPV17	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FNDC4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SNX17	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PPM1G	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
REEP6	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
APC2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPS15	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
MOGS	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NDUFS7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GRB14	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RTN4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HTRA2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WDR75	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFEMP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IGFBP5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CCT4	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CHST10	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOB4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CHMP3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZNF142	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMYD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IL1R1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNPPD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ABCB6	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROC	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ID2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HPCAL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
BIRC6	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHB2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRKD3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DARS1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SLC1A4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SOS1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATF2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AAK1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EPAS1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SPR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
BCL9	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DHCR24	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TNR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GPX7	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCP2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
MRPL37	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ICMT	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CHD5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
QSOX1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ERRFI1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELAPOR1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AMPD2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNC4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HDAC1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
CAPZA1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
S100PBP	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM62	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DLGAP3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SFPQ	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
GON4L	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEF2D	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FBXO6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAD2L2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LEPR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRG4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC35D1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WLS	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRDM2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGMAT	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CFHR3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CRYZ	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
NR5A2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
KIF21B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TMEM9	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ADPRS	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP7D1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MRPS15	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EXOC8	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNPAT	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LGALS8	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HPCAL4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SIPA1L2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RIMS3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AKT3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADM	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ST6GALNAC5	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDHB	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
MFAP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RGS4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGSF21	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RAB29	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HMGCL	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CD46	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
P3H1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V0B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
B4GALT2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ERI3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AKR1A1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PRDX1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PIK3R3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TMED5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DR1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CNN3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRRC2C	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ABCD3	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PRDX6	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
DARS2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSD11B1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IRF6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
UTP25	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLPPR4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SERPINC1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STMN1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NENF	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PROX1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARID1A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPA2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STX12	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL9	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSD	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
APOA1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SLC8A2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TNNT2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CAMSAP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATF6	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KLF7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TTR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELOVL4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNR1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGIP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PHF3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARG1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CCN2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MED28	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
VAMP8	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MYL12B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPN2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SPP1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNI	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MFSD1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDH17	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CCND2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELL2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
GTF3C3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
UBE2B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
KLF9	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
TJP2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PIGZ	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC92	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1orf198	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM67	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HEATR1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTBP3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYNC2I2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBXW2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NEK6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HSDL2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
MAPKAP1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND1A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ONECUT2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
C19orf25	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB45	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
YLPM1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NPC2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IRF2BPL	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LTBP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DLST	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ALDH6A1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
RHOQ	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
KLHL29	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DNMT3A	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FKBP1B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPEL5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CNRIP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CRIPT	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC17A5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IDE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GPAM	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PPP1R3C	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MXI1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SMNDC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND10	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WDR11	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GOT1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PANK3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CAAP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CYSTM1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PCDHB10	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC16B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ACAT2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
TCP1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PDZD11	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENY2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IQSEC3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PROSER1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
UFM1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELF1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SMAD9	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPH1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
TGFBI	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SIL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EGR1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
PLS1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARL1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EPHX2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
LYPLA1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TRIM25	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM131L	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TENT4B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ADCY7	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP89	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSPC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZSCAN18	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PDZRN3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAA50	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DESI2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAPK8IP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PEX16	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAT	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ADGRB2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FABP3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
KHDRBS1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SLITRK3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PDS5A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CSMD2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CLCC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLK	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPL21	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
GTF3A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
UBL3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
XPNPEP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
OCRL	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PLG	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
KIAA1191	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HS3ST2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ANXA11	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PRXL2A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZNF205	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC66A2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZMIZ2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HERPUD2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HNRNPA2B1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
CLTA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ACO1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PHF24	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CNTFR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KIAA1549	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CALD1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CHST3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CIT	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF11	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITPR2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WWP1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GIPC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPTN	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ORMDL2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NR4A1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE1B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG101	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IKZF4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TUBA1B	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
ATPAF1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL13RA2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SERPINA7	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MORF4L2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FAM199X	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
G0S2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
C4BPA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
GPR83	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MXD4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSL3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CHPF	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC12A4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLPI	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TTPAL	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PREX1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC12A5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SDC4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NCOA5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATP5F1E	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TOX2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GDAP1L1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
