Row Names	20180205_04_S171849_1186	20180205_23_S171850_1187	20180205_25_S171851_1188	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P61081|UBC12_HUMAN	NaN	NaN	NaN	13.038797	13.06869	13.055163	NaN	NaN	NaN	11.046768	10.305599	10.5132885	NaN	NaN	NaN	NaN	NaN	NaN	4.813098	10.053484	9.44048	NaN	NaN	NaN	NaN	NaN	NaN	0.37153605	10.801306	11.433079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61086|UBE2K_HUMAN	9.897143	10.23756	9.906061	10.636028	10.236424	1.899778	8.541208	9.965847	10.105865	NaN	NaN	NaN	10.957259	11.049477	10.921146	NaN	NaN	NaN	9.109476	11.188286	10.684881	NaN	NaN	NaN	NaN	NaN	NaN	9.473625	11.173558	11.369483	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61088|UBE2N_HUMAN	2.1469908	8.010513	7.3832464	11.642362	11.9268465	13.883264	11.446537	11.822569	12.023038	13.490496	12.638811	13.284331	11.777562	11.865999	12.252202	NaN	NaN	NaN	11.565873	10.611769	9.534682	NaN	NaN	NaN	11.734331	12.415431	12.358378	12.46512	12.923238	13.311843	11.63046	12.070442	12.565007	12.653694	12.723006	12.714079	11.24515	11.477208	11.677392	12.630598	11.505091	11.385656
sp|P61088|UBE2N_HUMAN : sp|Q5JXB2|UE2NL_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.110167	12.485972	11.973005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61106|RAB14_HUMAN	7.7083125	11.193065	10.820272	11.40745	11.400104	11.366587	11.242742	11.118633	10.822227	11.523185	11.151254	11.473651	11.544639	11.332907	11.682575	NaN	NaN	NaN	NaN	NaN	NaN	10.222112	10.086542	9.990748	10.955202	11.539529	12.07144	10.849438	12.109527	12.379804	11.900376	11.762834	12.748494	6.9994683	12.772422	13.379166	7.5091076	7.467972	6.457451	NaN	NaN	NaN
sp|P61158|ARP3_HUMAN	11.618405	12.928383	12.603909	12.484774	12.512501	11.002756	11.642356	12.815281	12.885568	13.23613	12.445048	12.982118	13.213297	12.543933	12.668156	12.568823	12.709086	12.351322	12.040731	13.151807	11.843639	12.407139	12.472318	12.140451	11.802682	11.621413	11.427733	11.801579	12.196973	12.914102	11.777169	12.392744	12.611191	11.180568	12.394036	13.647628	11.736633	11.9290495	12.389756	12.696235	12.338755	12.251116
sp|P61160|ARP2_HUMAN	12.121468	13.128084	12.829242	12.726205	12.907559	12.238123	12.090439	12.299795	12.33443	13.601873	12.965827	13.155513	11.623947	11.638323	11.440635	12.389389	12.464003	11.929934	10.785683	12.728999	11.4630575	10.652833	10.718015	10.311339	11.933853	12.934521	12.853514	11.429697	11.221152	11.6827	10.709264	11.8199625	12.479226	12.504897	12.602139	13.441192	10.818691	11.797556	11.796263	NaN	NaN	NaN
sp|P61163|ACTZ_HUMAN	8.164827	14.927783	15.612497	14.154865	13.800669	15.022368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.278788	14.718964	13.988011	NaN	NaN	NaN	15.048007	14.688072	15.000274	13.768481	14.746596	15.146973	13.329321	14.769442	14.940167	14.814201	14.916843	15.312636	12.456148	15.302914	15.557284	14.234272	14.268411	14.765922	NaN	NaN	NaN
sp|P61204|ARF3_HUMAN : sp|P84077|ARF1_HUMAN	11.743243	11.55055	11.343101	12.627905	12.788786	12.8002	12.494117	13.207481	13.244419	13.763394	13.11965	13.282257	13.71364	12.944687	13.46055	12.30166	12.468755	12.576722	11.758035	12.854916	11.978513	10.65327	9.394285	11.25389	10.7496605	13.263874	13.086448	11.280561	13.02984	13.483771	12.584416	12.949542	13.730892	12.423796	8.887173	9.28899	10.025159	11.489813	10.737649	NaN	NaN	NaN
sp|P61221|ABCE1_HUMAN	9.875543	8.141903	8.928202	10.427216	10.3617	9.335159	10.570644	7.0706677	8.947867	NaN	NaN	NaN	9.163952	9.656162	10.769448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.831755	10.356814	10.598709	6.450544	7.077314	7.4077673	10.798765	10.632634	9.703895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61224|RAP1B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.265866	13.0399	13.215932	NaN	NaN	NaN	11.727436	12.053203	11.598201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.1733227	12.425475	12.570237	NaN	NaN	NaN	12.098664	12.864385	13.014164	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61224|RAP1B_HUMAN : sp|P62834|RAP1A_HUMAN	11.679	12.661871	12.438689	12.247579	11.774301	12.643828	9.966052	12.460071	12.663212	NaN	NaN	NaN	12.682977	13.354635	13.792679	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.496615	12.943284	13.006612	NaN	NaN	NaN	11.866872	12.554592	12.747894	NaN	NaN	NaN	NaN	NaN	NaN	12.939619	12.363827	11.782289
sp|P61247|RS3A_HUMAN	14.075145	14.653825	14.271336	14.167203	14.310637	14.431283	14.177831	14.841432	14.808241	15.259757	14.638629	14.73852	14.818193	14.57799	14.914701	13.5968895	13.879334	13.613137	12.960905	13.710674	12.860749	13.797393	13.265294	13.316165	13.732514	14.553007	14.922068	13.9749	14.993567	15.429287	14.126026	14.253932	14.76826	13.266131	14.739344	14.617437	13.696617	13.432931	14.313344	15.140798	14.5901985	14.092248
