Row Names	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P78417|GSTO1_HUMAN	15.870313	15.600765	15.208783	15.4319105	15.24587	15.083946	15.460632	15.467922	15.546499	15.624427	15.762185	15.613534	15.811449	16.108591	15.608955	16.058556	16.183899	15.865901	16.423811	16.20953	16.183224	15.93197	15.566759	14.946348	16.17586	15.687535	15.525167	15.251699	15.535196	15.529497	15.896166	15.6714325	15.492626	15.654222	15.589801	15.596572	15.905377	15.737423	15.790103
sp|P78527|PRKDC_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	8.386947	8.846593	8.182921	10.729148	9.679467	10.158603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.721895	9.051612	9.488806	NaN	NaN	NaN	NaN	NaN	NaN
sp|P80303|NUCB2_HUMAN	10.356789	10.295427	10.43599	10.577992	9.843731	10.856672	9.718504	9.978285	10.235238	10.670228	10.716518	10.459175	10.666377	10.70047	10.434076	10.5919895	9.703554	9.924365	9.726508	9.604576	10.207745	10.087989	9.629906	10.405923	10.061366	11.605728	11.408002	9.85751	9.090229	10.769758	11.195613	10.2384	9.937884	12.249859	12.306311	12.052847	10.365512	10.640344	10.505275
sp|P80404|GABT_HUMAN	14.570199	14.670982	13.989912	13.829581	13.62958	14.016904	13.7060585	13.84522	13.87051	14.186618	14.1289215	14.073125	14.410496	14.465125	14.091522	14.228624	14.441882	14.391145	15.190855	14.61488	15.233661	14.688828	14.460843	14.538645	13.50377	14.245651	14.246993	14.152577	13.926778	14.093452	13.303151	13.987941	14.0117655	14.102329	13.798643	14.214815	14.528905	14.022354	14.470396
sp|P80723|BASP1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.152345	7.7670197	8.276349	10.040661	9.5849905	10.051297	10.548454	11.16841	11.32109	10.079262	9.95364	9.570367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.308245	10.913403	8.89798	9.844078	9.92096	9.54463
sp|P82675|RT05_HUMAN	9.122576	8.843929	6.9659967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.943754	9.194686	9.179966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P82909|RT36_HUMAN	NaN	NaN	NaN	13.005725	9.65482	8.727968	NaN	NaN	NaN	NaN	NaN	NaN	9.79137	9.665369	9.422244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P82979|SARNP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.185829	9.977882	10.420509	NaN	NaN	NaN	10.232781	10.365391	10.957487	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P82980|RET5_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.123257	10.780962	10.836818	NaN	NaN	NaN
sp|P83110|HTRA3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.138355	9.466685	9.443894
sp|P83111|LACTB_HUMAN	10.049873	9.591389	8.996394	9.923423	10.268167	9.881318	10.518305	10.43301	10.3415785	11.5239105	11.729332	11.741071	NaN	NaN	NaN	NaN	9.880579	9.61894	11.544452	11.531912	11.681897	10.145561	11.172444	11.390803	11.700149	9.73153	8.634361	11.203263	11.222909	11.198989	10.771255	11.632102	10.755075	10.918714	10.058532	11.538015	11.790996	11.22105	11.644833
sp|P83731|RL24_HUMAN	12.271263	12.459614	13.029316	13.589629	12.092837	11.539537	13.235467	13.002069	13.068993	12.836221	13.01707	13.319346	NaN	NaN	NaN	12.79481	12.33465	12.577701	12.735882	12.005696	12.492779	NaN	NaN	NaN	13.784459	13.374018	13.398348	13.68752	13.755683	13.836286	12.499483	13.761437	13.1527	13.429827	12.952814	13.275649	12.538451	12.911415	12.829122
sp|P83881|RL36A_HUMAN : sp|Q969Q0|RL36L_HUMAN	11.723858	11.807907	11.180402	12.135578	10.8044405	10.916777	11.25511	11.078591	11.466536	NaN	NaN	NaN	11.821931	11.569058	11.25733	NaN	NaN	NaN	10.466234	10.516904	10.5198345	4.6462126	11.55552	11.321235	NaN	NaN	NaN	11.143333	11.786708	11.178156	NaN	NaN	NaN	11.2485895	11.100115	11.55002	NaN	NaN	NaN
sp|P84085|ARF5_HUMAN	10.3441515	10.6878805	-1.2146101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.414007	10.424498	11.550236	NaN	NaN	NaN	NaN	NaN	NaN
sp|P84090|ERH_HUMAN	11.706842	11.578937	12.050164	12.035976	11.77229	11.329141	11.163344	11.197445	11.491513	11.6154175	11.312761	11.49256	11.244242	11.406743	10.924717	2.3310308	10.890182	10.956824	10.79296	10.943944	10.974543	12.434244	10.385312	10.106762	10.403745	11.519916	11.669169	10.101666	11.758115	11.179676	NaN	11.124141	11.5217905	11.104439	11.380584	10.740615	11.029671	11.212878	11.150023
sp|P84098|RL19_HUMAN	14.832482	14.428316	15.3106785	6.9245806	13.980423	14.0491495	15.188482	15.156465	14.934416	13.552916	13.119021	13.0901785	14.088034	13.888133	14.866964	14.762362	14.412299	14.060315	14.858997	13.952605	14.022631	14.0136795	13.484558	13.4276905	13.655012	15.102412	15.134469	16.074959	15.732404	15.822556	15.828466	14.811066	14.5974865	14.028905	14.415004	14.061954	14.271295	14.600207	14.501459
