Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|Q96C23|GALM_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	13.456524	10.863003	10.957823	12.968498	13.198616	12.742835	12.446519	12.395463	12.3638	13.836799	11.4382515	13.344136	12.869173	13.182602	13.120723
sp|Q96CM8|ACSF2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.687535	7.4826136	8.541678	11.318332	11.420023	11.325931	11.774699	11.505835	11.214769	11.138197	9.187604	11.211839	13.190827	13.306429	13.469265
sp|Q96CV9|OPTN_HUMAN	NaN	NaN	NaN	11.470439	11.064879	11.709361	10.072912	11.305767	10.892797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96DC8|ECHD3_HUMAN	13.153755	12.953891	12.896466	NaN	NaN	NaN	14.570273	13.316721	13.273335	NaN	NaN	NaN	14.098531	13.929426	13.956995	NaN	NaN	NaN	14.259439	14.317562	14.379299
sp|Q96DG6|CMBL_HUMAN	14.178062	13.7998	14.059825	11.983356	12.461259	12.775076	14.238489	13.85102	13.844637	13.452249	12.538098	13.073217	13.393567	13.419608	13.205578	NaN	NaN	NaN	13.854529	13.737185	13.335732
sp|Q96EP5|DAZP1_HUMAN	NaN	NaN	NaN	12.261136	11.751429	11.816936	10.333283	10.848599	11.397041	10.40384	10.995589	10.7972	11.618896	11.829451	11.913666	NaN	NaN	NaN	9.621166	10.331495	9.739202
sp|Q96EY8|MMAB_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.228495	10.631605	10.755945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96FW1|OTUB1_HUMAN	NaN	NaN	NaN	11.205254	11.569662	11.7344265	NaN	NaN	NaN	NaN	NaN	NaN	13.28955	13.354399	13.40949	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96GK7|FAH2A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.133944	9.829724	10.818589	13.056519	13.174111	13.212041
sp|Q96HC4|PDLI5_HUMAN	10.931401	10.53162	10.531316	11.883497	11.912618	11.805085	11.241477	11.830454	11.882416	11.71047	11.7594	11.703966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96HE7|ERO1A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.25243	12.096848	12.275414	NaN	NaN	NaN	13.232568	13.173201	12.920464	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96HR9|REEP6_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.4403715	11.6281595	11.38849	12.336014	10.365414	12.178691	12.998039	12.269232	12.866127
sp|Q96HS1|PGAM5_HUMAN	NaN	NaN	NaN	10.686352	10.423135	10.153194	NaN	NaN	NaN	NaN	NaN	NaN	11.265353	11.212212	11.332221	11.023438	8.854849	10.851231	10.792957	11.306306	10.687148
sp|Q96I99|SUCB2_HUMAN	14.535084	14.179989	14.461871	13.484945	14.000745	14.163598	14.685643	13.783387	13.45829	14.297046	14.388124	14.454175	14.612865	14.463565	14.476447	13.656763	13.273677	14.167451	14.551493	14.674211	14.384198
sp|Q96IU4|ABHEB_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.101098	13.780652	14.015157	NaN	NaN	NaN
sp|Q96KP4|CNDP2_HUMAN	14.290855	14.496486	14.179989	14.220291	14.077044	13.806312	14.88051	14.194916	13.614315	14.482093	14.541407	14.743965	15.587123	15.650065	15.513621	15.860578	15.225929	15.835096	15.7336235	15.881123	15.964947
sp|Q96LJ7|DHRS1_HUMAN	11.922578	11.700181	11.5218935	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96PK6|RBM14_HUMAN	11.859664	11.965794	11.5816345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.600471	11.789551	12.014119	NaN	NaN	NaN
