Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P08779|K1C16_HUMAN	13.2172985	19.929647	16.901062	15.444282	14.13454	16.22517	13.985264	16.23401	15.556454	11.352031	12.076111	12.658758	12.093481	11.39322	11.0398	13.605364	14.446364	15.754768	13.050798	10.713972	9.463263
sp|P08865|RSSA_HUMAN	16.445646	16.780731	15.7529125	14.599521	14.696106	15.597689	13.651259	14.793433	14.928769	14.69116	14.450679	14.0679655	15.300888	15.334141	15.480951	14.06623	14.712217	13.797986	14.93391	14.789181	15.113585
sp|P09110|THIK_HUMAN	15.36214	15.191095	14.931382	15.241262	14.791379	15.103871	15.628504	15.6945	16.067827	16.455069	16.052662	16.424883	15.443241	15.60773	15.695276	15.884514	15.534427	15.913117	15.48344	15.419705	15.61843
sp|P09210|GSTA2_HUMAN	12.574023	12.2828045	11.59511	12.133072	12.410172	13.101893	12.061412	12.27334	12.183927	12.272405	11.998694	11.828531	12.19903	12.601861	12.198794	12.147181	12.004319	11.992813	11.688329	11.419984	11.925568
sp|P09327|VILI_HUMAN	12.291051	12.060759	11.412431	12.08681	12.169443	12.7417345	9.75823	12.417765	13.257496	11.798873	11.890049	10.956374	12.309274	12.463043	12.640571	13.378389	11.317034	12.956555	12.969737	12.55214	13.302134
sp|P09382|LEG1_HUMAN	16.577164	16.803898	15.53495	14.033051	14.693529	15.410344	14.701122	14.860889	14.429797	16.20986	16.734554	15.690144	16.093267	16.206745	16.454723	14.246378	14.710782	14.67137	15.03246	14.740987	14.885488
sp|P09417|DHPR_HUMAN	12.583841	12.2414465	12.065058	NaN	NaN	NaN	14.654242	14.325151	15.408519	12.127878	12.052849	11.4553	12.633348	12.789623	13.111357	12.891363	12.539266	12.691014	12.369346	12.213539	11.93864
sp|P09429|HMGB1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.145867	11.854633	12.330549	12.569278	12.278706	11.014416	NaN	NaN	NaN	9.569499	11.698099	9.174276	9.913308	8.497237	10.643405
sp|P09467|F16P1_HUMAN	12.75671	12.988661	12.350092	13.023657	12.753753	13.075842	16.1289	14.717081	14.952036	14.307444	13.937727	15.888652	15.425049	16.478846	16.712128	15.191168	14.135698	15.072509	15.785975	15.385243	15.501991
sp|P09493|TPM1_HUMAN	12.862912	13.15302	12.261219	11.716887	12.280053	13.125444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.19279	14.228047	12.589844	NaN	NaN	NaN
sp|P09496|CLCA_HUMAN	NaN	NaN	NaN	8.243309	8.186634	12.324885	12.273757	12.55283	12.867625	12.107553	12.316206	11.625069	NaN	NaN	NaN	9.7882	12.241141	9.749003	NaN	NaN	NaN
