Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P21281|VATB2_HUMAN	7547.9355	11271.848	4549.2583	10195.721	9502.635	12978.296	13372.737	11354.06	20158.658	7973.335	6587.455	6366.69	11340.647	13564.135	15095.805	12094.452	15246.691	11173.916	10070.286	8352.27	10363.734
sp|P21333|FLNA_HUMAN	24199.238	28595.44	15916.63	19851.734	16396.621	23804.66	9785.052	22248.66	31421.883	51590.133	49444.242	16652.527	5823.296	5461.9785	7155.9985	14693.803	9405.084	7712.63	5436.9077	1705.7975	4058.2827
sp|P21397|AOFA_HUMAN	22699.213	11152.889	20027.66	16387.566	17062.707	22333.824	14410.113	5927.0776	7236.6113	20520.68	16330.795	9854.179	11192.906	9968.13	10228.32	18295.107	15300.844	22471.115	18089.352	11700.885	20211.521
sp|P21399|ACOC_HUMAN	NaN	NaN	NaN	2389.981	2932.127	2831.46	1537.105	203.41676	588.5532	NaN	NaN	NaN	3095.0044	2664.2979	2613.6587	10517.791	7236.842	6894.8975	NaN	NaN	NaN
sp|P21549|SPYA_HUMAN	152366.94	114885.266	96628.26	99465.28	103807.1	162679.88	67970.78	61668.69	65109.605	82824.27	70786.05	51523.926	50333.07	46375.29	55139.613	59666.336	134594.78	55314.1	38868.043	33328.883	33794.29
sp|P21695|GPDA_HUMAN	6594.575	5931.6494	5416.713	30440.168	26261.604	32541.441	26604.105	19584.451	26814.152	20247.412	19574.922	16739.875	9219.128	10750.443	9373.7705	26847.834	22435.42	19605.04	28334.832	22711.22	29007.344
sp|P21796|VDAC1_HUMAN	40600.6	31493.227	25296.02	40490.48	50582.336	75616.53	50129.312	26881.547	34840.383	66423.664	49765.8	30397.97	20759.31	21202.547	25306.574	24502.314	30736.477	38958.492	57878.434	53723.453	56554.336
sp|P21912|SDHB_HUMAN	6637.7217	4526.7754	5308.891	9059.1875	7119.1436	6832.133	6261.582	6061.873	9802.254	10502.002	9004.829	7205.326	4738.265	5321.9316	5716.465	7361.562	5869.5234	4963.796	10315.361	9811.625	12152.141
sp|P21926|CD9_HUMAN	3460.3784	3533.1497	3943.1611	NaN	NaN	NaN	1212.5618	3114.0486	6012.7715	NaN	NaN	NaN	2723.114	3132.9902	3601.4287	NaN	NaN	NaN	4150.055	2490.093	2185.4705
sp|P21964|COMT_HUMAN	6698.502	6199.138	6427.296	NaN	NaN	NaN	8328.323	4981.2827	5111.3125	12532.934	6467.328	7612.9805	NaN	NaN	NaN	23885.059	11906.848	24395.414	23129.465	18239.777	19418.707
sp|P21980|TGM2_HUMAN	94876.48	65474.406	71000.98	85980.8	82672.914	126817.96	39017.14	60346.453	76578.47	32558.762	26808.79	25363.115	58113.312	51581.953	59270.47	63524.89	41296.23	54579.78	39702.316	18872.014	56163.03
sp|P22033|MUTA_HUMAN	12904.677	13951.074	10130.0625	6496.2803	7979.8076	17280.79	5873.889	8692.543	13814.66	7401.653	4813.041	3850.3242	NaN	NaN	NaN	10971.27	14243.789	8597.889	11581.834	9977.518	12454.242
sp|P22061|PIMT_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2525.599	2784.3772	2365.0667
sp|P22087|FBRL_HUMAN	2018.4541	2279.184	1222.3076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P22102|PUR2_HUMAN	3776.65	3928.5688	3415.8723	667.54736	353.4605	3398.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P22234|PUR6_HUMAN	5434.5137	5261.222	3092.7402	3449.3264	2729.1985	4229.153	NaN	NaN	NaN	1455.1423	1170.6934	1571.0022	1742.7832	1986.0272	3039.0435	NaN	NaN	NaN	NaN	NaN	NaN
sp|P22307|NLTP_HUMAN	39855.86	26906.484	20824.912	16120.709	19452.645	52650.25	24883.715	38525.31	48352.23	29127.297	27725.22	23401.148	32884.434	32751.16	43744.188	39840.203	45392.312	39778.89	35628.594	24833.219	36207.906
sp|P22310|UD14_HUMAN	8454.869	1185.6168	5309.4653	2028.5059	2336.6382	4298.5444	845.73444	4855.59	6076.506	2943.0632	2549.901	902.698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
